searched,title,authors,published,database,source
12/02/2018,"Mining valence, arousal, and dominance","Ortu,Marco, Graziotin,Daniel, Destefanis,Giuseppe, Adams,Bram, Mäntylä,Mika, ",2016,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2901752&amp;ftid=1723929&amp;dwn=1
12/02/2018,Automatic Affect Classification of Human Motion Capture Sequences in the Valence-Arousal Model,"Pasquier,Philippe, Li,William, ",2016,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2948936&amp;ftid=1753134&amp;dwn=1
12/02/2018,Decoupling light reflex from pupillary dilation to measure emotional arousal in videos,"Jain,Eakta, Banerjee,Arunava, Keil,Andreas, Kleinsmith,Andrea, Raiturkar,Pallavi, ",2016,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2931009&amp;ftid=1749841&amp;dwn=1
12/02/2018,A computation method for video segmentation utilizing the pleasure-arousal-dominance emotional information,"Cheung,Peter Y. K., Arifin,Sutjipto, ",2007,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=1291251&amp;ftid=456406&amp;dwn=1
12/02/2018,Hierarchical movie affective content analysis based on arousal and valence features,"Duan,Lingyu, Luo,Suhuai, Jin,Jesse S., Xu,Min, ",2008,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=1459457&amp;ftid=575160&amp;dwn=1
12/02/2018,An alpha-activity-based binaural beat sound entrainment system using arousal state model,"Ohkura,Michiko, Settapat,Sittapong, ",2009,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=1501764&amp;ftid=104718&amp;dwn=1
12/02/2018,AffectCam,"Höök,Kristina, Coman,Alina, Kalnikaite,Vaiva, Gellersen,Hans, Rees,Matthew, Fratczak,Tomasz, Sas,Corina, ",2013,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2468542&amp;ftid=1366507&amp;dwn=1
12/02/2018,Voluntary facial activations regulate physiological arousal and subjective experiences during virtual social stimulation,"Martin,Jean-Claude, Courgeon,Matthieu, Surakka,Veikko, Vanhala,Toni, ",2012,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2134204&amp;ftid=1190350&amp;dwn=1
12/02/2018,Control vs. complexity in games,"Lehner,Nina, Hochleitner,Christina, Hochleitner,Wolfgang, Lankes,Michael, ",2012,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2367629&amp;ftid=1286177&amp;dwn=1
12/02/2018,Subjective Assessment of Stress in HCI,"Karousos,Nikos, Xenos,Michalis, Sotiropoulos,Dimitris, Katsanos,Christos, Liapis,Alexandros, ",2015,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2808450&amp;ftid=1627835&amp;dwn=1
