Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
10/02/2018,"Mining Process Model Descriptions of Daily Life through Event
  Abstraction",Niek Tax,2017-05-25T20:32:56Z,-,,,arXiv,http://arxiv.org/abs/1705.10202v1
10/02/2018,"Generating Time-Based Label Refinements to Discover More Precise Process
  Models",Niek Tax,2017-05-25T21:01:20Z,-,,,arXiv,http://arxiv.org/abs/1705.09359v2
10/02/2018,Energy saving in smart homes based on consumer behaviour: A case study,Michael Zehnder,2015-09-18T17:31:25Z,-,,,arXiv,http://arxiv.org/abs/1509.05722v1
10/02/2018,Augur: Mining Human Behaviors from Fiction to Power Interactive Systems,Ethan Fast,2016-02-22T21:44:05Z,-,,,arXiv,http://arxiv.org/abs/1602.06977v2
10/02/2018,Development of a Context Aware Virtual Smart Home Simulator,Tam Van Nguyen,2010-07-08T01:51:17Z,-,,,arXiv,http://arxiv.org/abs/1007.1274v1
10/02/2018,On Generation of Time-based Label Refinements,Niek Tax,2016-09-12T10:25:29Z,-,,,arXiv,http://arxiv.org/abs/1609.03333v1
10/02/2018,"Predicting proximity with ambient mobile sensors for non-invasive health
  diagnostics",Sylvester Olubolu Orimaye,2015-12-10T03:54:17Z,-,,,arXiv,http://arxiv.org/abs/1512.03423v1
10/02/2018,"The Missing Ones: Key Ingredients Towards Effective Ambient Assisted
  Living Systems",Hong Sun,2014-01-12T18:51:43Z,-,,,arXiv,http://arxiv.org/abs/1401.2657v1
10/02/2018,"Promote the Industry Standard of Smart Home in China by Intelligent
  Router Technology",Hui Lin,2015-04-15T13:52:40Z,-,,,arXiv,http://arxiv.org/abs/1504.03912v1
10/02/2018,"Activity Modeling in Smart Home using High Utility Pattern Mining over
  Data Streams",Menaka Gandhi. J,2013-06-25T14:39:17Z,-,,,arXiv,http://arxiv.org/abs/1306.5982v1
10/02/2018,"IoFClime: The fuzzy logic and the Internet of Things to control indoor
  temperature regarding the outdoor ambient conditions",Daniel Meana-Llorián,2017-01-10T12:15:59Z,-,,,arXiv,http://arxiv.org/abs/1701.02545v1
10/02/2018,"Learning about End-User Development for Smart Homes by ""Eating Our Own
  Dog Food""",Joelle Coutaz,2015-10-05T07:05:27Z,-,,,arXiv,http://arxiv.org/abs/1510.01050v1
10/02/2018,"Science Driven Innovations Powering Mobile Product: Cloud AI vs. Device
  AI Solutions on Smart Device",Deguang Kong,2017-11-20T23:42:34Z,-,,,arXiv,http://arxiv.org/abs/1711.07580v1
10/02/2018,"Exploring Cross-Domain Data Dependencies for Smart Homes to Improve
  Energy Efficiency",Shamaila Iram,2017-10-11T09:40:39Z,-,,,arXiv,http://arxiv.org/abs/1710.03978v1
