searched,title,authors,published,database,source
29/01/2018,Variable selection for prediction of time series from smart city,"Macas,Martin, ",2015,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7172789/7181533/07181554.pdf?arnumber=7181554
29/01/2018,Effects of data cleansing on load prediction algorithms,"Langseth,Helge, Tidemann,Axel, Hoverstad,Boye A., ",2013,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6595338/6611489/06611504.pdf?arnumber=6611504
29/01/2018,Unsupervised mining of activities for smart home prediction,"J Lapalu, K Bouchard, A Bouzouane… - Procedia Computer …, 2013 - Elsevier",2013,Google Scholar,https://www.sciencedirect.com/science/article/pii/S1877050913006753
29/01/2018,An efficient kernel machine technique for short-term load forecasting under smart grid environment,"Kurata,E., Mori,H., ",2012,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/6330648/6343905/06345687.pdf?arnumber=6345687
29/01/2018,New method for accurate prediction of CO2 in the Smart Home,"Gajdos,Petr, Dohnalek,Pavel, Zidek,Jan, Bilik,Petr, Martinek,Radek, Vanus,Jan, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7508333/7520318/07520562.pdf?arnumber=7520562
29/01/2018,Clustering methods for occupancy prediction in smart home control,"Kastner,Wolfgang, Vazquez,Felix Iglesias, ",2011,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5976319/5984066/05984350.pdf?arnumber=5984350
29/01/2018,Hour-ahead demand forecasting in smart grid using support vector regression (SVR),"Lesani,Hamid, Gholami-Dehkordi,Hamid, Fereidunian,Alireza, Fattaheian-Dehkordi,Sajjad, ",2013,Wiley - Crossref,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fetep.1791
29/01/2018,Short term load forecasting based on wavelet decomposition and random forest,"Liu,Peng, Liu,Song, Li,Yujiao, Huang,Qingping, ",2017,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=3132481&ftid=1912020&dwn=1
29/01/2018,A smart handover prediction system based on curve fitting model for Fast Mobile IPv6 in wireless networks,"Mirjalili,SeyedAli, Lloret,Jaime, Ghafoor,Kayhan Zrar, Bakar,Kamalrulnizam Abu, Sadiq,Ali Safa, ",2012,Wiley - Crossref,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fdac.2386
29/01/2018,User behavior prediction model for smart home using parallelized neural network algorithm,"Shen,Weiming, Zhang,Feng, Li,Fei, Liu,Min, Xu,Gaowei, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7561991/7565943/07565992.pdf?arnumber=7565992
29/01/2018,User behavior prediction in the “offline” smart home solutions,"Anisimov,Alexander, Platonov,Ivan, Vavilov,Dmitry, Milykh,Valery, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7505573/7513633/07513646.pdf?arnumber=7513646
29/01/2018,Applications of adaptive CKF algorithm in short-term load forecasting of smart grid,"Zhang,Weidong, He,Xing, Li,Yao, ",2014,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6882077/6895198/06896364.pdf?arnumber=6896364
