section,searched,terms,title,authors,published,database,source,url
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Gardening in Ambient Assisted Living,"Kluss,Thorsten, Zschippig,Carolin, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S1618866715001867,https://api.elsevier.com/content/search/scidir?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&count=30&sort=-date&httpAccept=application%2Fjson&query=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Effects of Irradiation on Porous Silicon,"Arce, Roberto, Koropecki, Roberto, ",2021,ScienceDirect,http://dx.doi.org/10.1007/978-3-319-04508-5_52-2,http://api.springer.com/metadata/json?api_key=dc79a00284b344a042ccc009dc64c9b4&p=30&q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29 sort:date
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Trends and Challenges in Formal Specification and Verification of Services Composition in Ambient Assisted Living Applications,"Djouani,Karim, Chibani,Abdelghani, Hilia,Mohamed, ",2013,ScienceDirect,https://api.elsevier.com/content/article/pii/S1877050913006807,https://api.elsevier.com/content/search/scidir?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&count=30&sort=-date&httpAccept=application%2Fjson&query=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Chapter 4 The Human Factor in the Design of Successful Ambient Assisted Living Technologies,"Gambi,Ennio, Rossi,Lorena, Raffaeli,Laura, Montanini,Laura, Felici,Elisa, Stara,Vera, Spinsante,Susanna, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/B9780128051955000041,https://api.elsevier.com/content/search/scidir?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&count=30&sort=-date&httpAccept=application%2Fjson&query=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Development of audio sensing technology for ambient assisted living: Applications and challenges,"M Vacher, F Portet, A Fleuryâ€_Â - Digital Advances inÂ â€_, 2013 - books.google.com",2013,Google Scholar,https://books.google.co.uk/books?hl=en&lr=&id=nMWeBQAAQBAJ&oi=fnd&pg=PA148&dq=(ambient+intelligence+OR+ambient+system+OR+smart+environment)+AND+(care+OR+elderly+OR+assisted+living+OR+assistive)&ots=cnv0fX7nVb&sig=CvNov4gLjn2A93E3xqLmm3tYyf0,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),A goal-oriented requirements engineering approach for the ambient assisted living domain,"Sernani,Paolo, Accattoli,Daniele, Yu,Eric, Dragoni,Aldo Franco, Claudi,Andrea, Calvaresi,Davide, ",2015,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2674416&amp;ftid=1528917&amp;dwn=1,https://api.crossref.org/works?mailto=rob.dunne@manchester.ac.uk&rows=100&from-index-date=2011member=320&query=(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive)
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),A New Way to Build Multifacetted Ontologies for Elderly Care,"GÃ_mez,Enrique J., Moreno,Pedro A., Chernbumroong,Saisakul, Lotfi,Ahmad, Langensiepen,Caroline, ",2016,ACM - Crossref,http://dl.acm.org/ft_gateway.cfm?id=2935831&amp;ftid=1814596&amp;dwn=1,https://api.crossref.org/works?mailto=rob.dunne@manchester.ac.uk&rows=100&from-index-date=2011member=320&query=(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive)
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Comparative Analysis of Prominent Middleware Platforms in the Domain of Ambient Assisted Living (AAL) for an Older Adults with Dementia (OAwD) Scenario,"Mihailidis,Alex, Liscano,Ramiro, Phull,Rajjeet, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S187705091630285X,https://api.elsevier.com/content/search/scidir?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&count=30&sort=-date&httpAccept=application%2Fjson&query=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29
"care,elderly,assisted living,assistive",23/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Chapter 9 Developing Embedded Platforms for Ambient Assisted Living,"David,Valeriu, Breniuc,Liviu, Haba,Cristian-GyÅ‘zÅ‘, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/B9780128051955000090,https://api.elsevier.com/content/search/scidir?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&count=30&sort=-date&httpAccept=application%2Fjson&query=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29
"care,elderly,assisted living,assistive",24/11/17,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),A comprehensive and scalable middleware for Ambient Assisted Living based on cloud computing and Internet of Things,"Endler,Markus, RÃ_os,Luis Eduardo Talavera, da Silva e Silva,Francisco JosÃ©, Muniz,Luiz Carlos Melo, Gomes,Berto de TÃ¡cio Pereira, ",2016,Wiley - Crossref,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fcpe.4043,https://api.crossref.org/works?mailto=rob.dunne@manchester.ac.uk&rows=100&from-index-date=2011member=311&query=(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive)
