searched,title,authors,published,database,source
29/01/2018,Human behavior prediction for smart homes using deep learning,Not available,2013,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6604421/6628390/06628440.pdf?arnumber=6628440
29/01/2018,Bayesian Networks Structure Learning for Activity Prediction in Smart Homes,"Cook,Diane J., Nazerfard,Ehsan, ",2012,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/6257545/6258493/06258502.pdf?arnumber=6258502
29/01/2018,PhD Forum: Human Activity Recognition in Smart Environments,"Bayliff,Alec, ",2017,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7943263/7946954/07947013.pdf?arnumber=7947013
29/01/2018,Smart Homes Design for People with Dementia,"Bouchachia,Abdelhamid, Amiribesheli,Mohsen, ",2015,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7194253/7194254/07194288.pdf?arnumber=7194288
29/01/2018,Recognizing human activity in smart home using deep learning algorithm,"Hu,Chen, Fang,Hongqing, ",2014,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6882077/6895198/06895735.pdf?arnumber=6895735
29/01/2018,A Fast Technique for Smart Home Management: ADP with Temporal Difference Learning,"Chapman,Archie C., Verbic,Gregor, Keerthisinghe,Chanaka, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/5165411/5446437/07745930.pdf?arnumber=7745930
29/01/2018,Detecting Smart Plug Configuration Changes in Smart Homes,"Rogozina,A., Konchalenkov,D., Ziekow,H., Leonardi,A., ",2015,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7154058/7155750/07156016.pdf?arnumber=7156016
29/01/2018,Learning Algorithm for Human Activity Detection in Smart Environments,"Lozano-Tello,Adolfo, Boton-Fern´ndez,Vicente, ",2011,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/6036126/6036728/06040701.pdf?arnumber=6040701
29/01/2018,Smart homes. A solution for a smart lighting system,"Popa,M., Gambutan,A. T., ",2009,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5089334/5136205/05136242.pdf?arnumber=5136242
29/01/2018,Resource allocation in smart homes based on Banker's algorithm,"Bogdan,S., Virag,A., ",2012,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/6151917/6162607/06162794.pdf?arnumber=6162794
29/01/2018,Person identification by smart cameras,"Rothkrantz,Leon, ",2017,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7963867/7973339/07973347.pdf?arnumber=7973347
29/01/2018,Energy storage management in smart homes based on resident activity of daily life recognition,"Liang,Hao, Zhuang,Peng, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7426159/7436263/07436373.pdf?arnumber=7436373
29/01/2018,Measuring learning outcomes effectively in smart learning environments,"Sicilia,Miguel-Angel, Kadry,Seifedine, Yassine,Sahar, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7442953/7447873/7447877.pdf?arnumber=7447877
29/01/2018,Acoustic smart sensors based integrated system for smart homes,"Fonseca,Jose, Ferreira,Joaquim, Alam,Muhammad, Fernandes,Hugo, ",2017,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/8064441/8090780/08090869.pdf?arnumber=8090869
29/01/2018,Optimal smart gateway deployment for the Internet of Things in smart home environments,"Lin,Po-Chiang, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7378181/7398473/07398715.pdf?arnumber=7398715
29/01/2018,Intelligent Energy Optimization for User Intelligible Goals in Smart Home Environments,"Razzak,Faisal, Corno,Fulvio, ",2012,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5165411/6397636/06319377.pdf?arnumber=6319377
29/01/2018,Fast forecasting uncontrolled network separation in smart grid environment,"Kong,Weicong, Zhang,Chunxue, Xu,Zhao, Jia,Youwei, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7764633/7778724/07778850.pdf?arnumber=7778850
29/01/2018,Modelling human behaviour in smart home energy management systems via machine learning techniques,"Pipaliya,Bhautik, Gariba,Devanshi, ",2017,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7959774/7973873/07973883.pdf?arnumber=7973883
29/01/2018,Electricity Demand Forecasting by Multi-Task Learning,"Dinuzzo,Francesco, Fiot,Jean-Baptiste, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/5165411/5446437/07467578.pdf?arnumber=7467578
29/01/2018,A Home Energy Management System for Energy-Efficient Smart Homes,"Lee,Il-Woo, Park,Wan-Ki, Lee,Hyunjeong, ",2014,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6820887/6822285/06822319.pdf?arnumber=6822319
29/01/2018,Smart living in smart homes and buildings,"Leibbrandt,Wouter, ",2011,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5992667/6005147/06005182.pdf?arnumber=6005182
29/01/2018,Intervention of non-inhabitant activities detection in smart home environment,"Supangkat,Suhono Harso, Nugraha,I. G. B. Baskara, Adipradhana,Mirza, ",2013,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/6578013/6588046/06588116.pdf?arnumber=6588116
29/01/2018,A smart air conditioner in smart home,"Aybar,Aydin, Ozkan,Hanife Apaydin, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7547194/7555399/07555599.pdf?arnumber=7555599
29/01/2018,Guest Editorial Special Section on Intelligent Buildings and Home Energy Management in a Smart Grid Environment,"Dounis,Anastasios, Kusiak,Andrew, Wang,Lingfeng, ",2012,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5165411/6397636/06384864.pdf?arnumber=6384864
29/01/2018,Hypothesis Transfer Learning for Efficient Data Computing in Smart Cities Environments,"Conti,Marco, Passarella,Andrea, Valerio,Lorenzo, ",2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7499653/7501656/07501696.pdf?arnumber=7501696
29/01/2018,Reinforcement learning aided smart-home decision-making in an interactive smart grid,"Jayaweera,Sudharman K., Li,Ding, ",2015,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7002486/7018627/07018632.pdf?arnumber=7018632
29/01/2018,Human Activity Detection in Smart Home Environment with Self-Adaptive Neural Networks,"Black,Norman, Wang,Haiying, Zheng,Huiru, ",2008,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/4489617/4525150/04525459.pdf?arnumber=4525459
29/01/2018,Smart RAS (Remedial Action Scheme),Not available,2010,IEEE - Crossref,http://xplorestaging.ieee.org/ielx5/5428221/5434721/05434735.pdf?arnumber=5434735
29/01/2018,Computational intelligence in smart systems,Not available,2016,IEEE - Crossref,http://xplorestaging.ieee.org/ielx7/7761917/7765608/07765653.pdf?arnumber=7765653
