searched,title,authors,published,database,source
12/02/2018,"Cigarette cues capture attention of smokers and never-smokers, but for different reasons.",Deweese MM,2018 Feb 5,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29427915
12/02/2018,The delirium and population health informatics cohort study protocol: ascertaining the determinants and outcomes from delirium in a whole population.,Davis D,2018 Feb 9,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29426299
12/02/2018,Prediction of sexual function following spinal cord injury: a case series.,Previnaire JG,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29423300
12/02/2018,Types of Anxiety and Depression: Theoretical Assumptions and Development of the Anxiety and Depression Questionnaire.,Fajkowska M,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29410638
12/02/2018,Nocebo and pseudo-neglect: Paradoxical effects detected with eye-tracking.,Höfler C,2018 Feb 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29410091
12/02/2018,The Yellow Scale Is Superior to the Gray Scale for Detecting Acute Ischemic Stroke on a Monitor Display in Computed Tomography.,Ogura A,2018 Feb 2,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29402526
12/02/2018,Automated artifact detection procedure for vaginal photoplethysmography.,Pulverman CS,2018 Feb 5,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29400613
12/02/2018,The Basal Forebrain Regulates Global Resting-State fMRI Fluctuations.,Turchi J,2018 Jan 31,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29398365
12/02/2018,"Combined effects of peer presence, social cues, and rewards on cognitive control in adolescents.",Breiner K,2018 Feb 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29388187
12/02/2018,Emotional Arousal at Memory Encoding Enhanced P300 in the Concealed Information Test.,Osugi A,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29375446
12/02/2018,Reliability of the sliding scale for collecting affective responses to words.,Imbault C,2018 Jan 25,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29372489
12/02/2018,Tulsa 1000: a naturalistic study protocol for multilevel assessment and outcome prediction in a large psychiatric sample.,Victor TA,2018 Jan 24,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29371263
12/02/2018,Electroencephalography Amplitude Modulation Analysis for Automated Affective Tagging of Music Video Clips.,Clerico A,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29367844
12/02/2018,Anytime multipurpose emotion recognition from EEG data using a Liquid State Machine based framework.,Al Zoubi O,2018 Jan 20,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29366532
12/02/2018,Socio-affective touch expression database.,Lee Masson H,2018,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29364988
12/02/2018,An improved method for detecting torpor entrance and arousal in a mammalian hibernator using heart rate data.,MacCannell ADV,2018 Jan 18,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29361606
12/02/2018,Use of Biotechnological Devices in the Quantification of Psychophysiological Workload of Professional Chess Players.,Fuentes JP,2018 Jan 19,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29350296
12/02/2018,Mommy or me? Who is the agent in a sense of agency in infant orofacial stereotypies?,Leisman G,2017 Jan,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29342813
12/02/2018,The prediction probabilities for emergence from sevoflurane anesthesia in children: A comparison of the perfusion index and the bispectral index.,Liu PP,2018 Jan 17,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29341401
12/02/2018,A novel blink detection method based on pupillometry noise.,Hershman R,2018 Jan 16,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29340968
12/02/2018,"The relationships between exercise and affective states: a naturalistic, longitudinal study of recreational runners.",Bonham T,2018,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29340251
12/02/2018,"Understanding Women's Subjective Sexual Arousal Within the Laboratory: Definition, Measurement, and Manipulation.",Handy AB,2018 Jan 12,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29339116
12/02/2018,Rewarding effects of physical activity predict sensitivity to the acute subjective effects of d-amphetamine in healthy volunteers.,Pester MS,2018 Jan 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29338486
12/02/2018,Characterizing anger-related affect in individuals with posttraumatic stress disorder using ecological momentary assessment.,Van Voorhees EE,2018 Mar,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29329048
12/02/2018,Functional MRI Motor Imagery Tasks to Detect Command Following in Traumatic Disorders of Consciousness.,Bodien YG,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29326648
12/02/2018,Synchrony and Physiological Arousal Increase Cohesion and Cooperation in Large Naturalistic Groups.,Jackson JC,2018 Jan 9,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29317675
12/02/2018,Flashbulb memories: Is the amygdala central? An investigation of patients with amygdalar damage.,Spanhel K,2018 Jan 6,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29317322
12/02/2018,Effects of acute aerobic exercise or meditation on emotional regulation.,Edwards MK,2018 Mar 15,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29309746
12/02/2018,Resting heart rate: A physiological predicator of lie detection ability.,Duran G,2018 Mar 15,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29305871
12/02/2018,Portuguese Version of the Arousal Predisposition Scale: Preliminary Evidence for a Two-Factor Structure in a Nonclinical Sample.,Ruivo Marques D,2017 Jan 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29298594
12/02/2018,Towards a more practical attention bias test to assess affective state in sheep.,Monk JE,2018,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29293636
12/02/2018,Brain arousal regulation in adults with attention-deficit/hyperactivity disorder (ADHD).,Strauß M,2018 Mar,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29291475
12/02/2018,Efficacy and Safety of On-Demand Use of 2 Treatments Designed for Different Etiologies of Female Sexual Interest/Arousal Disorder: 3 Randomized Clinical Trials.,Tuiten A,2018 Feb,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29289554
12/02/2018,Epileptic Seizures are Reduced by Autonomic Biofeedback Therapy Through Enhancement of Fronto-limbic Connectivity: A Controlled Trial and Neuroimaging Study.,Nagai Y,2018 Jan,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29289531
12/02/2018,Differences in Perceived and Physiologic Genital Arousal Between Women With and Without Sexual Dysfunction.,Handy AB,2018 Jan,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29289375
12/02/2018,The Psychology of Gay Men's Cuckolding Fantasies.,Lehmiller JJ,2017 Dec 28,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29285655
12/02/2018,The morbidity of sexual dysfunction of 125 Chinese women following different types of radical hysterectomy for gynaecological malignancies.,Wang X,2018 Feb,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29282516
12/02/2018,Measures of behavioral function predict duration of video game play: Utilization of the Video Game Functional Assessment - Revised.,Buono FD,2017 Dec 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29280397
12/02/2018,"Entrainment of the mouse circadian clock: Effects of stress, exercise, and nutrition.",Tahara Y,2017 Dec 23,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29277444
12/02/2018,Interactive effects of music and prefrontal cortex stimulation in modulating response inhibition.,Mansouri FA,2017 Dec 22,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29273796
12/02/2018,Sleep disordered breathing does not predict acute severe pain episodes in children with sickle cell anemia.,Willen SM,2017 Dec 20,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29266432
12/02/2018,"Night Games: Physiological, Neuroendocrine and Psychometric Mechanisms to Explain Poor Sleep.",Juliff L,2017 Dec 18,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29252066
12/02/2018,Measuring heightened attention to alcohol in a naturalistic setting: A validation study.,Monem RG,2017 Dec,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29251979
12/02/2018,Global Electroencephalography Synchronization as a New Indicator for Tracking Emotional Changes of a Group of Individuals during Video Watching.,Han CH,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29249947
12/02/2018,Reward-Based Learning Drives Rapid Sensory Signals in Medial Prefrontal Cortex and Dorsal Hippocampus Necessary for Goal-Directed Behavior.,Le Merre P,2018 Jan 3,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29249287
12/02/2018,More visual mind wandering occurrence during visual task performance: Modality of the concurrent task affects how the mind wanders.,Choi H,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29240817
12/02/2018,Target meta-awareness is a necessary condition for physiological responses to masked emotional faces: Evidence from combined skin conductance and heart rate assessment.,Tsikandilakis M,2018 Feb,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29239755
12/02/2018,Enhancement of Pleasure during Spontaneous Dance.,Bernardi NF,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29238298
12/02/2018,The Sense of Being Watched Is Modulated by Arousal and Duration of the Perceptual Episode.,Hesslinger VM,2017 Nov-Dec,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29230277
12/02/2018,Combat-related guilt and the mechanisms of exposure therapy.,Trachik B,2017 Nov 27,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29229376
12/02/2018,Even in early childhood offspring alcohol expectancies correspond to parental drinking.,Kuntsche E,2018 Feb 1,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29227837
12/02/2018,Assessment of intervention-related changes in non-rapid-eye-movement sleep depth: importance of sleep depth changes within stage 2.,Qanash S,2017 Dec,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29221784
12/02/2018,Pre-stimulus pupil dilation and the preparatory control of attention.,Irons JL,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29220361
12/02/2018,Reduced level of arousal and increased mortality in adult acute medical admissions: a systematic review and meta-analysis.,Todd A,2017 Dec 8,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29216846
12/02/2018,Reduced visual attention in heterogeneous textures is reflected in occipital alpha and theta band activity.,Feldmann-Wüstefeld T,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29216195
12/02/2018,Targeted kinase inhibition relieves slowness and tremor in a &lt;i&gt;Drosophila&lt;/i&gt; model of LRRK2 Parkinson's disease.,Cording AC,2017,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29214211
12/02/2018,Task relevance modulates the behavioural and neural effects of sensory predictions.,Auksztulewicz R,2017 Dec,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/29206225
