Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
10/02/2018,Forecasting behavior in smart homes based on sleep and wake patterns,Jennifer A. Williams,Sep 2016,Article,,,ResearchGate,https://www.researchgate.net/publication/308703253_Forecasting_behavior_in_smart_homes_based_on_sleep_and_wake_patterns?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition1%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=1&_iepl%5BrgKey%5D=PB%3A308703253&_iepl%5BtargetEntityId%5D=PB%3A308703253&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Action Prediction in Smart Home Based on Reinforcement Learning,Marwa Hassan,Jun 2014,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/281966804_Action_Prediction_in_Smart_Home_Based_on_Reinforcement_Learning?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition2%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=2&_iepl%5BrgKey%5D=PB%3A281966804&_iepl%5BtargetEntityId%5D=PB%3A281966804&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Location Based Sequence Prediction Algorithm for Determining Next Activity in Smart Home,Mohammad Marufuzzaman,Jun 2017,Article,,,ResearchGate,https://www.researchgate.net/publication/317776443_A_Location_Based_Sequence_Prediction_Algorithm_for_Determining_Next_Activity_in_Smart_Home?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition3%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=3&_iepl%5BrgKey%5D=PB%3A317776443&_iepl%5BtargetEntityId%5D=PB%3A317776443&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Unsupervised Mining of Activities for Smart Home Prediction,Jérémy Lapalu,Jun 2013,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/235708618_Unsupervised_Mining_of_Activities_for_Smart_Home_Prediction?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition4%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=4&_iepl%5BrgKey%5D=PB%3A235708618&_iepl%5BtargetEntityId%5D=PB%3A235708618&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,An improved extreme learning machine model for the prediction of human scenarios in smart homes,Liwen Zaineb,Sep 2017,Article,,,ResearchGate,https://www.researchgate.net/publication/320137870_An_improved_extreme_learning_machine_model_for_the_prediction_of_human_scenarios_in_smart_homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition5%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=5&_iepl%5BrgKey%5D=PB%3A320137870&_iepl%5BtargetEntityId%5D=PB%3A320137870&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Learning under uncertainty in smart home environments,Shuai Zhang,Feb 2008,Article,,,ResearchGate,https://www.researchgate.net/publication/23932274_Learning_under_uncertainty_in_smart_home_environments?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition6%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=6&_iepl%5BrgKey%5D=PB%3A23932274&_iepl%5BtargetEntityId%5D=PB%3A23932274&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Spatiotemporal Model of Human Circadian Rhythm in Smart Homes.,Muhammad Raisul Alam,Oct 2011,Article,,,ResearchGate,https://www.researchgate.net/publication/220355877_A_Spatiotemporal_Model_of_Human_Circadian_Rhythm_in_Smart_Homes?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition7%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=7&_iepl%5BrgKey%5D=PB%3A220355877&_iepl%5BtargetEntityId%5D=PB%3A220355877&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Design and Simulation of a Smart Home managed by an Intelligent Self-Adaptive System,Basman M. Hasan Alhafidh,Aug 2016,Article,,,ResearchGate,https://www.researchgate.net/publication/311374442_Design_and_Simulation_of_a_Smart_Home_managed_by_an_Intelligent_Self-Adaptive_System?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition8%5D=1&_iepl%5Bdata%5D%5BwithEnrichment%5D=1&_iepl%5Bposition%5D=8&_iepl%5BrgKey%5D=PB%3A311374442&_iepl%5BtargetEntityId%5D=PB%3A311374442&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,Human behavior prediction for smart homes using deep learning,Sungjoon Choi,Aug 2013,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/261344882_Human_behavior_prediction_for_smart_homes_using_deep_learning?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition9%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=9&_iepl%5BrgKey%5D=PB%3A261344882&_iepl%5BtargetEntityId%5D=PB%3A261344882&_iepl%5BinteractionType%5D=publicationCTA
10/02/2018,A Genetic Neural Network Approach for Unusual Behavior Prediction in Smart Home,Liwen Zaineb,Feb 2017,Conference Paper,,,ResearchGate,https://www.researchgate.net/publication/314247875_A_Genetic_Neural_Network_Approach_for_Unusual_Behavior_Prediction_in_Smart_Home?_iepl%5BgeneralViewId%5D=YQZWEQPe4YAuAN1ntHw4KLcXcJGRwZ1Eztzq&_iepl%5Bcontexts%5D%5B0%5D=searchReact&_iepl%5BviewId%5D=IDlNl4Vyl3nQ7giYvShhPkj1dMkru0GibMJ3&_iepl%5BsearchType%5D=publication&_iepl%5Bdata%5D%5BcountMoreThan20%5D=1&_iepl%5Bdata%5D%5BinteractedWithPosition10%5D=1&_iepl%5Bdata%5D%5BwithoutEnrichment%5D=1&_iepl%5Bposition%5D=10&_iepl%5BrgKey%5D=PB%3A314247875&_iepl%5BtargetEntityId%5D=PB%3A314247875&_iepl%5BinteractionType%5D=publicationCTA
