searched,title,authors,published,database,source
12/02/2018,"Deconstructing arousal into wakeful, autonomic and affective varieties","Bianciardi,Marta, Wager,Tor D., Barrett,Lisa Feldman, Kragel,Philip A., Satpute,Ajay B., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S030439401830048X
12/02/2018,Acoustic Measures of Voice and Physiologic Measures of Autonomic Arousal during Speech as a Function of Cognitive Load,"Stepp,Cara E., Abur,Defne, MacPherson,Megan K., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0892199716303022
12/02/2018,Exercise-induced arousal affects free-choices to inhibit,"Castiello,Umberto, Paoli,Antonio, Marcolin,Giuseppe, Grigoletto,Davide, Ceccarini,Francesco, Li,Chunting, Dall’Acqua,Tommaso, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1469029217304478
12/02/2018,AFEW-VA database for valence and arousal estimation in-the-wild,"Pantic,Maja, Todorovic,Sinisa, Tzimiropoulos,Georgios, Kossaifi,Jean, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0262885617300379
12/02/2018,Relating emotional arousal to work vigour: A dynamic systems perspective,"De Fruyt,Filip, Hofmans,Joeri, Sosnowska,Joanna, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0191886917304282
12/02/2018,Do mind and body agree? Unconscious versus conscious arousal in product attitude formation,"Noci,Giuliano, Lamberti,Lucio, Bettiga,Debora, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0148296317300553
12/02/2018,Exploring aesthetic experiences of females: Affect-related traits predict complexity and arousal responses to music and affective pictures,"Leder,Helmut, Marin,Manuela M., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0191886917307419
12/02/2018,Differences in Perceived and Physiologic Genital Arousal Between Women With and Without Sexual Dysfunction,"Meston,Cindy M., Pulverman,Carey S., Stanton,Amelia M., Handy,Ariel B., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609517316235
12/02/2018,2.17 How Emotional Arousal Enhances Episodic Memory,"Talmi,Deborah, Davidson,Patrick S.R., Hot,Pascal, Ack Baraly,Kylee T., ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/B9780128093245210511
12/02/2018,I sleep with my Mind's eye open: Cognitive arousal and overgeneralization underpin the misperception of sleep,"Raes,Filip, Boddez,Yannick, Takano,Keisuke, ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S0005791616300702
12/02/2018,No arousal-biased competition in focused visuospatial attention,"Nieuwenhuis,Sander, Ásgeirsson,Árni Gunnar, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0010027717301981
12/02/2018,Brain arousal regulation in adults with attention-deficit/hyperactivity disorder (ADHD),"Hegerl,Ulrich, Stark,Tetyana, Sander,Christian, Mauche,Nicole, Huang,Jue, Paucke,Madlen, Ulke,Christine, Strauß,Maria, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S016517811731644X
12/02/2018,Human Factors Analysis Using Wearable Sensors in the Context of Cognitive and Emotional Arousal,"Kallus,K.W., Wagner,V., Schwarz,M., Pittino,N.M., Paletta,L., ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S2351978915008811
12/02/2018,Sexual Arousal and Sexually Explicit Media (SEM): Comparing Patterns of Sexual Arousal to SEM and Sexual Self-Evaluations and Satisfaction Across Gender and Sexual Orientation,"Lange,Theis, Stulhofer,Aleksandar, Hald,Gert Martin, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S2050116117300910
12/02/2018,"From road distraction to safe driving: Evaluating the effects of boredom and gamification on driving behaviour, physiological arousal, and subjective experience","Watling,Christopher N., Schroeter,Ronald, Steinberger,Fabius, ",2017,ScienceDirect,https://api.elsevier.com/content/article/pii/S0747563217303904
12/02/2018,Emotion lies in the eye of the listener: Emotional arousal to novel sounds is reflected in the sympathetic contribution to the pupil dilation response and the P3,"Wetzel,Nicole, Schröger,Erich, Widmann,Andreas, ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0301051118300498
12/02/2018,The role of emotions and physiological arousal in modulating impulsive behaviour,"Duka,Theodora, Critchley,Hugo D., Herman,Aleksandra M., ",2018,ScienceDirect,https://api.elsevier.com/content/article/pii/S0301051118300644
12/02/2018,Emotional valence and arousal affect reading in an interactive way: Neuroimaging evidence for an approach-withdrawal framework,"Ferstl,Evelyn C., Weekes,Brendan S., Critchley,Hugo D., Gray,Marcus A., Citron,Francesca M.M., ",2014,ScienceDirect,https://api.elsevier.com/content/article/pii/S0028393214000062
12/02/2018,Devices and Methods to Measure Female Sexual Arousal,"Kukkonen,Tuuli M., ",2015,ScienceDirect,https://api.elsevier.com/content/article/pii/S2050052115301414
12/02/2018,Interoceptive Awareness Moderates the Relationship Between Perceived and Physiological Genital Arousal in Women,"Meston,Cindy M., Handy,Ariel B., ",2016,ScienceDirect,https://api.elsevier.com/content/article/pii/S1743609516304271
