searched,title,authors,published,database,source
12/02/2018,Theory of Mind: Towards an Evolutionary Theory,"Tsoukalas, Ioannis, ",2018,Springer,http://dx.doi.org/10.1007/s40806-017-0112-x
12/02/2018,"Databases, features and classifiers for speech emotion recognition: a review","Kabisatpathy, P., Routray, Aurobinda, Swain, Monorama, ",2018,Springer,http://dx.doi.org/10.1007/s10772-018-9491-z
12/02/2018,The Sociocultural Context of Sexually Diverse Women’s Sexual Desire,"Mark, Kristen P., Rosenkrantz, Dani E., ",2018,Springer,http://dx.doi.org/10.1007/s12119-017-9462-6
12/02/2018,Facial skin blood flow responses during exposures to emotionally charged movies,"Liang, Nan, Ito, Momoka, Ishii, Kei, Endo, Kana, Matsukawa, Kanji, ",2018,Springer,http://dx.doi.org/10.1007/s12576-017-0522-3
12/02/2018,Finding Meaning at Work: The Role of Inspiring and Funny YouTube Videos on Work-Related Well-Being,"Connor, Winston, III, Rieger, Diana, Janicke-Bowles, Sophie H., ",2018,Springer,http://dx.doi.org/10.1007/s10902-018-9959-1
12/02/2018,Automatic emotion detection in text streams by analyzing Twitter data,"Agu, Emmanuel, Rundensteiner, Elke, Hasan, Maryam, ",2018,Springer,http://dx.doi.org/10.1007/s41060-018-0096-z
12/02/2018,Neural mechanisms underlying subsequent memory for personal beliefs:An fMRI study,"Cabeza, Roberto, Huettel, Scott A., LaBar, Kevin S., Hess, Thomas M., Iyengar, Vijeth, Wing, Erik A., ",2018,Springer,http://dx.doi.org/10.3758/s13415-018-0563-y
12/02/2018,Consciousness: a unique way of processing information,"Marchetti, Giorgio, ",2018,Springer,http://dx.doi.org/10.1007/s10339-018-0855-8
12/02/2018,Predicting Science Engagement with Motivation and Teacher Characteristics: a Multilevel Investigation,"Yerdelen, Sündüs, Sungur, Semra, Kıran, Dekant, ",2018,Springer,http://dx.doi.org/10.1007/s10763-018-9882-2
12/02/2018,Annotated news corpora and a lexicon for sentiment analysis in Slovene,"Povh, Janez, Žnidaršič, Martin, Bučar, Jože, ",2018,Springer,http://dx.doi.org/10.1007/s10579-018-9413-3
12/02/2018,EEG captures affective touch: CT-optimal touch and neural oscillations,"Rutherford, Helena J. V., Pelphrey, Kevin A., Mayes, Linda C., Walthall, Jessica, Crowley, Michael J., von Mohr, Mariana, ",2018,Springer,http://dx.doi.org/10.3758/s13415-017-0560-6
12/02/2018,Rehabilitation for Individuals with Dementia: Facilitating Success,"Ries, Julie D., ",2018,Springer,http://dx.doi.org/10.1007/s13670-018-0237-1
12/02/2018,The hidden therapist: evidence for a central role of music in psychedelic therapy,"Carhart-Harris, Robin, Nutt, David, Feilding, Amanda, Roseman, Leor, Rodriguez, Natalie, Timmerman, Christopher, Evans, Lisa, Raine, Jordan, Giribaldi, Bruna, Kaelen, Mendel, ",2018,Springer,http://dx.doi.org/10.1007/s00213-017-4820-5
12/02/2018,What Money Can’t Buy: Different Patterns in Decision Making About Sex and Money Predict Past Sexual Coercion Perpetration,"Rouleau, Joanne-Lucine, Cyr, Gaëlle, Nolet, Kevin, Gagnon, Jean, Carrier Emond, Fannie, ",2018,Springer,http://dx.doi.org/10.1007/s10508-017-1116-0
12/02/2018,Do alerting signals increase the size of the attentional focus?,"Seibold, Verena C., ",2018,Springer,http://dx.doi.org/10.3758/s13414-017-1451-1
12/02/2018,An exploratory qualitative and quantitative analysis of emotions in issue report comments of open source systems,"Demeyer, Serge, Adams, Bram, Tourani, Parastou, Ortu, Marco, Murgia, Alessandro, ",2018,Springer,http://dx.doi.org/10.1007/s10664-017-9526-0
12/02/2018,Harmful fun: Pranks and sadistic motivation,"Leitch, Rebecca, Burris, Christopher T., ",2018,Springer,http://dx.doi.org/10.1007/s11031-017-9651-5
12/02/2018,What Do We Mean by Physician Wellness? A Systematic Review of Its Definition and Measurement,"Roberts, Laura Weiss, Louie, Alan K., Frank, Erica, Bohman, Bryan, Murphy, Mary Lou, Raj, Kristin S., Khan, Christina T., Trockel, Mickey T., Brady, Keri J. S., ",2018,Springer,http://dx.doi.org/10.1007/s40596-017-0781-6
12/02/2018,A Conservation of Resources Perspective on Negative Affect and Innovative Work Behaviour: the Role of Affect Activation and Mindfulness,"Grégoire, Simon, Giorgi, Gabriele, Dagenais-Desmarais, Véronique, Montani, Francesco, ",2018,Springer,http://dx.doi.org/10.1007/s10869-016-9480-7
12/02/2018,"Pedophilia-Themed Obsessive–Compulsive Disorder: Assessment, Differential Diagnosis, and Treatment with Exposure and Response Prevention","Williams, Monnica T., Ching, Terence H. W., Bruce, Simone Leavell, ",2018,Springer,http://dx.doi.org/10.1007/s10508-017-1031-4
12/02/2018,Fluctuations in Hallucination Spectrum Experiences Co-vary with Social Defeat but not with Social Deafferentation. A 3-Week Daily Assessment Study,"Lincoln, Tania Marie, Jaya, Edo Sebastian, Winkler, Katharina, Schlier, Björn, ",2018,Springer,http://dx.doi.org/10.1007/s10608-017-9871-8
12/02/2018,Individual Differences in Adolescents’ Emotional Reactivity across Relationship Contexts,"Buehler, Cheryl, Blair, Bethany L., Cook, Emily C., ",2018,Springer,http://dx.doi.org/10.1007/s10964-017-0673-9
12/02/2018,Hope Modules: Brief Psychotherapeutic Interventions to Counter Demoralization from Daily Stressors of Chronic Illness,"Griffith, James L., ",2018,Springer,http://dx.doi.org/10.1007/s40596-017-0748-7
12/02/2018,Psychological generators of stress-headaches,"Drummond, Peter D., Berry, Juanita Kay Miller, ",2018,Springer,http://dx.doi.org/10.1007/s10865-017-9872-9
12/02/2018,"Somatic symptom severity among primary care patients who are obese: examining the unique contributions of anxiety sensitivity, discomfort intolerance, and health anxiety","Kelley, Lance P., Griggs, Jackson O., Limbers, Christine A., Fergus, Thomas A., ",2018,Springer,http://dx.doi.org/10.1007/s10865-017-9873-8
12/02/2018,The Protective Role of Parental Media Monitoring Style from Early to Late Adolescence,"Memmott-Elison, Madison K., Kroff, Savannah L., Coyne, Sarah M., Padilla-Walker, Laura M., ",2018,Springer,http://dx.doi.org/10.1007/s10964-017-0722-4
12/02/2018,Happy Thoughts: Mind Wandering Affects Mood in Daily Life,"Kuehner, Christine, Alpers, Georg W., Reinhard, Iris, Welz, Annett, ",2018,Springer,http://dx.doi.org/10.1007/s12671-017-0778-y
12/02/2018,The physical examination as a window into autonomic disorders,"Goldstein, David S., Cheshire, William P., Jr., ",2018,Springer,http://dx.doi.org/10.1007/s10286-017-0494-7
12/02/2018,"Gender-specific differences in high-risk sexual behaviors among methamphetamine users in Myanmar-China border city, Muse, Myanmar: who is at risk?","Jimba, Masamine, Cho, Su Myat, Chan, Nyein, Saw, Thu Nandar, Saw, Yu Mon, ",2018,Springer,http://dx.doi.org/10.1186/s12889-018-5113-6
12/02/2018,Cancer-Diagnosed Individuals’ Use of Television and the Internet as a Source for Peer Stories and Associated Emotional Responses,"Beullens, Kathleen, Van den Bulck, Jan, Nelissen, Sara, ",2018,Springer,http://dx.doi.org/10.1007/s13187-016-1128-9
