searched,title,authors,published,database,source
12/02/2018,Smart Homes for People Suffering from Cognitive Disorders,"Pigot,Hélène, Giroux,Sylvain, ",2013,Wiley - Crossref,Not available
12/02/2018,Prediction Algorithms for Smart Environments,"Cook,Diane J., ",2005,Wiley - Crossref,Not available
12/02/2018,"Sustainability, the built environment and the legal system","Fisher,D. E., ",2008,Wiley - Crossref,Not available
12/02/2018,How to Reduce Energy-Related Greenhouse Gas Emissions in Homes and Offices in New Zealand,"Hargreaves,R. M. E., ",2008,Wiley - Crossref,Not available
12/02/2018,Frontmatter,Not available,2008,Wiley - Crossref,Not available
12/02/2018,Location Estimation (Determination and Prediction) Techniques in Smart Environments,"Das,Sajal K, Misra,Archan, ",2005,Wiley - Crossref,Not available
12/02/2018,Is ‘Smart’ Always ‘Sustainable‘ in Building Design and Construction,"Bell,J., ",2008,Wiley - Crossref,Not available
12/02/2018,Designing for the Human Experience in Smart Environments,"Mynatt,Elizabeth D., Abowd,Gregory D., ",2005,Wiley - Crossref,Not available
12/02/2018,Keywords index,Not available,2008,Wiley - Crossref,Not available
12/02/2018,Smart Offices,"Gal,Christophe Le, ",2005,Wiley - Crossref,Not available
12/02/2018,Smart & Sustainable Built Environments,Not available,2008,Wiley - Crossref,Not available
12/02/2018,Sustainable Deconstruction of Buildings,"Schultmann,F., ",2008,Wiley - Crossref,Not available
12/02/2018,"Smart Home, Smart Office",Not available,2012,Wiley - Crossref,Not available
12/02/2018,Simple and Smart SCADA - a Survey of User Expectations,"Malmström,T-G., Basiri,F., ",2008,Wiley - Crossref,Not available
12/02/2018,Smart and Sustainable City - a Case Study from Hong Kong,"Giridharan,R., Wang,J., Lau,Stephen S. Y., ",2008,Wiley - Crossref,Not available
12/02/2018,Anatomy of An Adaptive Algorithm,Not available,2005,Wiley - Crossref,Not available
12/02/2018,Smart Homes as Integrated Living Environments,"Späth,Ralf, Dahlquist,Erik, Campillo,Javier, ",2015,Wiley - Crossref,Not available
12/02/2018,Anti-Collision Algorithm and Smart Antennas for RFID Systems,"Karmakar,Nemai Chandra, Teoh,Qi Jing, ",2011,Wiley - Crossref,Not available
12/02/2018,DCOP FOR SMART HOMES: A CASE STUDY,"Cesta,Amedeo, Pecora,Federico, ",2010,Wiley - Crossref,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1467-8640.2007.00313.x
12/02/2018,Building as Power Plant - BAPP,"Loftness,V., Archer,D., Hartkopf,V., ",2008,Wiley - Crossref,Not available
12/02/2018,Time and the Sustainable Development Agenda,"Brandon,P. S., ",2008,Wiley - Crossref,Not available
12/02/2018,Sustainable Building and Construction: Contributions by International Organizations,"Bakens,W., ",2008,Wiley - Crossref,Not available
12/02/2018,Smart Rooms,"Srivastava,Mani, Muntz,Richard, Chen,Alvin, ",2005,Wiley - Crossref,Not available
12/02/2018,Home Automation and Smart Homes to Support Independence,"Milton,Bradley R., Mann,William C., ",2005,Wiley - Crossref,Not available
12/02/2018,Utilization and Customer Behavior: Smart Choices for the Smart Grid,"Smith,Jeremy B., Rapson,David, Jessoe,Katrina, ",2016,Wiley - Crossref,http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781118755471.sgd014
12/02/2018,Future of the Smart Grid,Not available,2014,Wiley - Crossref,Not available
12/02/2018,Appendix: Smart Grid Simulation Tools,Not available,2014,Wiley - Crossref,Not available
12/02/2018,What is Smart Grid Communication?,Not available,2014,Wiley - Crossref,Not available
12/02/2018,Introduction to Power Systems Before Smart Grid,Not available,2014,Wiley - Crossref,Not available
12/02/2018,"The Advent of the Smart City,from Flow Management to Event Control",Not available,2015,Wiley - Crossref,http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F9781119075615.ch1
12/02/2018,"Security, Privacy and Trust Issues in Smart Environments","Terzis,S., English,C., Wagealla,W., Nixon,P. A., ",2005,Wiley - Crossref,Not available
12/02/2018,Designing Smart Environments: A Paradigm Based on Learning and Prediction,"Cook,Diane, Das,Sajal K., ",2006,Wiley - Crossref,Not available
12/02/2018,Human Factors in Smart Data Pricing,"Chiang,Mung, Ha,Sangtae, Joe-Wong,Carlee, Sen,Soumya, ",2014,Wiley - Crossref,Not available
12/02/2018,Lessons from an Adaptive Home,"Mozer,Michael C., ",2005,Wiley - Crossref,Not available
12/02/2018,Home Networking and Appliances,"Moyer,Stan, Marples,Dave, ",2005,Wiley - Crossref,Not available
12/02/2018,Elements: Smart Data and Smart Data Strategy,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Card File Management,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Cards for IT Security,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Card Security,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Card Commands,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Cards for Identification and Passports,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Card Microcontrollers,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Cards in Telecommunication Systems,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Cards in Transportation Systems,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Card Production,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Communication with Smart Cards,Not available,2010,Wiley - Crossref,Not available
12/02/2018,Smart Cards in Payment Systems,Not available,2010,Wiley - Crossref,Not available
