Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
12/02/2018,Multivariate Output-Associative RVM for Multi-Dimensional Affect Predictions,Achut Manandhar,2016-01-01,article,,,Zenodo,https://zenodo.org/record/1111901
12/02/2018,"Annual Reports of Education, Health and Sport 9781329876002","Radzimińska, Agnieszka et al.",2013-01-31,book,,,Zenodo,https://zenodo.org/record/45472
12/02/2018,Bored in the USA: Experience sampling and boredom in everyday life.,"Chin, Alycia",2017-01-01,article,,,Zenodo,https://zenodo.org/record/894578
12/02/2018,Figure 7. Neural Network model-Classification of Human Emotion from Deap EEG Signal Using Hybrid Improved Neural Networks with Cuckoo Search,M. Sreeshakthy,2015-12-01,figure,,,Zenodo,https://zenodo.org/record/1163839
12/02/2018,Predicting the Three Major Dimensions of the Learner-s Emotions from Brainwaves,Alicia Heraz,2007-07-23,article,,,Zenodo,https://zenodo.org/record/1076762
12/02/2018,"Annual Reports of Education, Health and Sport 9781329899971","Meshcheryakova, A. V. et al.",2013-09-30,book,,,Zenodo,https://zenodo.org/record/46021
12/02/2018,A method for Music Classification Based On Perceived Mood Detection for Indian Bollywood Music,Vallabha Hampiholi,2012-12-25,article,,,Zenodo,https://zenodo.org/record/1084718
12/02/2018,"Annual Reports of Education, Health and Sport 9781329876262","Mikolajewska, Emilia at al.",2013-01-31,book,,,Zenodo,https://zenodo.org/record/45634
12/02/2018,"Annual Reports of Education, Health and Sport 9781329900554","Starenkyi, Victor et al.",2014-01-31,book,,,Zenodo,https://zenodo.org/record/46139
12/02/2018,"Intelligent emotions stabilization system using standarized images, breath sensor and biofeedback – preliminary findings - short communication","Sokolov, Oleksandr",2015-02-28,article,,,Zenodo,https://zenodo.org/record/16251
12/02/2018,Violent Videogame Playing and Its Relations to Antisocial Behaviors,Martin Jelínek,2016-05-03,article,,,Zenodo,https://zenodo.org/record/1124889
12/02/2018,Identification of Arousal and Relaxation by using SVM-Based Fusion of PPG Features,Chi Jung Kim,2011-11-27,article,,,Zenodo,https://zenodo.org/record/1076014
12/02/2018,Modulation of Total Sleep Time by Transcranial Direct Current Stimulation (tDCS),Frase L,2016-04-11,article,,,Zenodo,https://zenodo.org/record/439501
12/02/2018,Authoring Tactile Gestures: Case Study for Emotion Stimulation,Rodrigo Lentini,2016-10-02,article,,,Zenodo,https://zenodo.org/record/1127422
12/02/2018,The Functional Magnetic Resonance Imaging and the Consumer Behaviour: Reviewing Recent Research,Mikel Alonso López,2016-02-01,article,,,Zenodo,https://zenodo.org/record/1123729
12/02/2018,"Capitalizing on the success of romantic partners: A laboratory investigation on subjective, facial, and physiological emotional processing.",Michał Kosakowski,2014-04-23,article,,,Zenodo,https://zenodo.org/record/260085
12/02/2018,Figure 5. Process flow of PSO-Classification of Human Emotion from Deap EEG Signal Using Hybrid Improved Neural Networks with Cuckoo Search,M. Sreeshakthy,2015-12-01,figure,,,Zenodo,https://zenodo.org/record/1163833
12/02/2018,The relationship between acute stress disorder and posttraumatic stress disorder in severely injured trauma survivors,"Creamer, Mark",2004-04-01,article,,,Zenodo,https://zenodo.org/record/918339
