section ,searched ,terms ,title ,authors ,published ,database,source,url
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A case-driven ambient intelligence system for elderly in-home assistance applications,"F Zhou, JR Jiao, S Chen… - IEEE Transactions on …, 2011 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/5504187/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Ambient Assisted Living system for in-home monitoring of healthy independent elders,"JA Botia, A Villa, J Palma - Expert Systems with Applications, 2012 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S095741741200173X,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),How smart is your home?,"DJ Cook - Science, 2012 - science.sciencemag.org",,Google Scholar,http://science.sciencemag.org/content/335/6076/1579.short,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A survey on ambient-assisted living tools for older adults,"P Rashidi, A Mihailidis - IEEE journal of biomedical and health …, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6399501/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),"Ambient assisted living healthcare frameworks, platforms, standards, and quality attributes","M Memon, SR Wagner, CF Pedersen, FHA Beevi… - Sensors, 2014 - mdpi.com",,Google Scholar,http://www.mdpi.com/1424-8220/14/3/4312/htm,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Design and evaluation of a smart home voice interface for the elderly: acceptability and objection aspects,"F Portet, M Vacher, C Golanski, C Roux… - Personal and Ubiquitous …, 2013 - Springer",,Google Scholar,http://link.springer.com/article/10.1007/s00779-011-0470-5,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Handbook of ambient assisted living,"JC Augusto, M Huch, A Kameas, J Maitland… - 2012 - pdfs.semanticscholar.org",,Google Scholar,https://pdfs.semanticscholar.org/a864/76064cc0bc38a65edb486d61a04ebbaf4504.pdf,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),CASAS: A smart home in a box,"DJ Cook, AS Crandall, BL Thomas, NC Krishnan - Computer, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6313586/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A survey on ambient intelligence in healthcare,"G Acampora, DJ Cook, P Rashidi… - Proceedings of the …, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6579688/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Forecasting the behavior of an elderly using wireless sensors data in a smart home,"NK Suryadevara, SC Mukhopadhyay, R Wang… - … of Artificial Intelligence, 2013 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S0952197613001553,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Ambient wall: Smart wall display interface which can be controlled by simple gesture for smart home,"HJ Kim, KH Jeong, SK Kim, TD Han - SIGGRAPH Asia 2011 Sketches, 2011 - dl.acm.org",,Google Scholar,http://dl.acm.org/citation.cfm?id=2077380,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A smarter smart home: Case studies of ambient intelligence,"S Makonin, L Bartram… - IEEE Pervasive Computing, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6287502/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Smart homes for the elderly dementia sufferers: identification and prediction of abnormal behaviour,"A Lotfi, C Langensiepen, SM Mahmoud… - … of ambient intelligence …, 2012 - Springer",,Google Scholar,http://link.springer.com/article/10.1007/s12652-010-0043-x,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Sound environment analysis in smart home,"M Sehili, B Lecouteux, M Vacher, F Portet, D Istrate… - … Intelligence, 2012 - Springer",,Google Scholar,http://link.springer.com/content/pdf/10.1007/978-3-642-34898-3.pdf#page=222,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),State of the art of smart homes,"LC De Silva, C Morikawa, IM Petra - … Applications of Artificial Intelligence, 2012 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S095219761200098X,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Discovering activities to recognize and track in a smart environment,"P Rashidi, DJ Cook, LB Holder… - IEEE transactions on …, 2011 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/5560652/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Combining Cloud and sensors in a smart city environment,"N Mitton, S Papavassiliou, A Puliafito, KS Trivedi - 2012 - Springer",,Google Scholar,http://link.springer.com/article/10.1186/1687-1499-2012-247,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Ambient interaction by smart watches,"G Bieber, T Kirste, B Urban - … of the 5th International Conference on …, 2012 - dl.acm.org",,Google Scholar,http://dl.acm.org/citation.cfm?id=2413147,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A smart communication architecture for ambient assisted living,"J Lloret, A Canovas, S Sendra… - IEEE Communications …, 2015 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/7010512/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Ambient intelligence: A survey,"F Sadri - ACM Computing Surveys (CSUR), 2011 - dl.acm.org",,Google Scholar,http://dl.acm.org/citation.cfm?id=1978815,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=10
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Authentication protocol for an ambient assisted living system,"D He, S Zeadally - IEEE Communications Magazine, 2015 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/7010518/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),"A review of smart homes—Past, present, and future","MR Alam, MBI Reaz, MAM Ali - IEEE Transactions on Systems …, 2012 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6177682/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A gesture based system for context-sensitive interaction with smart homes,"R Neßelrath, C Lu, CH Schulz, J Frey… - Ambient Assisted …, 2011 - Springer",,Google Scholar,http://link.springer.com/content/pdf/10.1007/978-3-642-18167-2.pdf#page=209,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A review on vision techniques applied to human behaviour analysis for ambient-assisted living,"AA Chaaraoui, P Climent-Pérez… - Expert Systems with …, 2012 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S0957417412004757,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Ageing-in-place with the use of ambient intelligence technology: Perspectives of older users,"J van Hoof, HSM Kort, PGS Rutten… - International journal of …, 2011 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S1386505611000566,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),aWESoME: A web service middleware for ambient intelligence,"TG Stavropoulos, K Gottis, D Vrakas… - Expert Systems with …, 2013 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S0957417413000936,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Intelligent environments: a manifesto,"JC Augusto, V Callaghan, D Cook, A Kameas… - … -Centric Computing and …, 2013 - Springer",,Google Scholar,http://link.springer.com/article/10.1186/2192-1962-3-12,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),A multi-disciplinary approach to ambient assisted living,"M Ziefle, C Röcker, W Wilkowska, K Kasugai… - E-Health, Assistive …, 2011 - igi-global.com",,Google Scholar,http://www.igi-global.com/chapter/multi-disciplinary-approach-ambient-assisted/51384,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),"Conceptualizing smart city with dimensions of technology, people, and institutions","T Nam, TA Pardo - Proceedings of the 12th annual international digital …, 2011 - dl.acm.org",,Google Scholar,http://dl.acm.org/citation.cfm?id=2037602,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"home,domestic",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (home OR domestic),Wireless architectures for heterogeneous sensing in smart home applications: Concepts and real implementation,"F Viani, F Robol, A Polo, P Rocca… - Proceedings of the …, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6568872/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28home+OR+domestic%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=20
"care,elderly,assisted living,assistive",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),A survey on ambient-assisted living tools for older adults,"P Rashidi, A Mihailidis - IEEE journal of biomedical and health …, 2013 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/6399501/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"care,elderly,assisted living,assistive",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Handbook of ambient assisted living,"JC Augusto, M Huch, A Kameas, J Maitland… - 2012 - pdfs.semanticscholar.org",,Google Scholar,https://pdfs.semanticscholar.org/a864/76064cc0bc38a65edb486d61a04ebbaf4504.pdf,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"care,elderly,assisted living,assistive",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Authentication protocol for an ambient assisted living system,"D He, S Zeadally - IEEE Communications Magazine, 2015 - ieeexplore.ieee.org",,Google Scholar,http://ieeexplore.ieee.org/abstract/document/7010518/,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"care,elderly,assisted living,assistive",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),Ambient Assisted Living system for in-home monitoring of healthy independent elders,"JA Botia, A Villa, J Palma - Expert Systems with Applications, 2012 - Elsevier",,Google Scholar,http://www.sciencedirect.com/science/article/pii/S095741741200173X,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
"care,elderly,assisted living,assistive",22/11/2017,(ambient intelligence OR ambient system OR smart environment) AND (care OR elderly OR assisted living OR assistive),"Ambient assisted living healthcare frameworks, platforms, standards, and quality attributes","M Memon, SR Wagner, CF Pedersen, FHA Beevi… - Sensors, 2014 - mdpi.com",,Google Scholar,http://www.mdpi.com/1424-8220/14/3/4312/htm,https://scholar.google.co.uk/scholar?q=%28ambient+intelligence+OR+ambient+system+OR+smart+environment%29+AND+%28care+OR+elderly+OR+assisted+living+OR+assistive%29&hl=en&as_sdt=0%2C5&as_ylo=2011&as_yhi=2017&start=0
